student_id,event_timestamp,created_timestamp,programming,databases,problem_solving,communication,cloud_computing,teamwork,aptitude
S001,2026-01-01 00:00:01+00:00,2026-01-01 00:00:02+00:00,73,82,63,56,55,60,95
S002,2026-01-01 00:00:02+00:00,2026-01-01 00:00:03+00:00,86,49,70,45,82,69,73
S003,2026-01-01 00:00:03+00:00,2026-01-01 00:00:04+00:00,63,42,47,82,54,84,39
S004,2026-01-01 00:00:04+00:00,2026-01-01 00:00:05+00:00,49,48,66,50,90,59,56
S005,2026-01-01 00:00:05+00:00,2026-01-01 00:00:06+00:00,77,57,41,67,42,58,63
S006,2026-01-01 00:00:06+00:00,2026-01-01 00:00:07+00:00,42,94,93,43,41,47,89
S007,2026-01-01 00:00:07+00:00,2026-01-01 00:00:08+00:00,95,91,85,94,37,94,37
S008,2026-01-01 00:00:08+00:00,2026-01-01 00:00:09+00:00,55,74,56,93,51,92,46
S009,2026-01-01 00:00:09+00:00,2026-01-01 00:00:10+00:00,73,55,62,40,67,41,60
S010,2026-01-01 00:00:10+00:00,2026-01-01 00:00:11+00:00,92,50,36,50,82,91,50
S011,2026-01-01 00:00:11+00:00,2026-01-01 00:00:12+00:00,53,79,76,63,46,70,85
S012,2026-01-01 00:00:12+00:00,2026-01-01 00:00:13+00:00,57,52,79,37,93,79,71
S013,2026-01-01 00:00:13+00:00,2026-01-01 00:00:14+00:00,45,81,91,54,85,54,56
S014,2026-01-01 00:00:14+00:00,2026-01-01 00:00:15+00:00,45,87,87,94,56,35,91
S015,2026-01-01 00:00:15+00:00,2026-01-01 00:00:16+00:00,58,58,40,93,89,42,63
S016,2026-01-01 00:00:16+00:00,2026-01-01 00:00:17+00:00,87,60,62,70,56,80,48
S017,2026-01-01 00:00:17+00:00,2026-01-01 00:00:18+00:00,70,59,62,53,80,50,62
S018,2026-01-01 00:00:18+00:00,2026-01-01 00:00:19+00:00,74,94,78,60,64,48,39
S019,2026-01-01 00:00:19+00:00,2026-01-01 00:00:20+00:00,58,94,78,37,72,46,81
S020,2026-01-01 00:00:20+00:00,2026-01-01 00:00:21+00:00,37,94,54,53,72,85,83
S021,2026-01-01 00:00:21+00:00,2026-01-01 00:00:22+00:00,56,79,64,54,79,57,64
S022,2026-01-01 00:00:22+00:00,2026-01-01 00:00:23+00:00,87,75,45,66,85,49,80
S023,2026-01-01 00:00:23+00:00,2026-01-01 00:00:24+00:00,36,63,92,41,88,62,86
S024,2026-01-01 00:00:24+00:00,2026-01-01 00:00:25+00:00,58,49,89,86,42,68,39
S025,2026-01-01 00:00:25+00:00,2026-01-01 00:00:26+00:00,78,79,62,75,61,36,46
S026,2026-01-01 00:00:26+00:00,2026-01-01 00:00:27+00:00,64,35,59,67,61,66,50
S027,2026-01-01 00:00:27+00:00,2026-01-01 00:00:28+00:00,72,59,73,74,68,57,60
S028,2026-01-01 00:00:28+00:00,2026-01-01 00:00:29+00:00,36,41,67,73,55,56,60
S029,2026-01-01 00:00:29+00:00,2026-01-01 00:00:30+00:00,94,43,35,52,64,85,82
S030,2026-01-01 00:00:30+00:00,2026-01-01 00:00:31+00:00,55,58,91,74,67,59,55
S031,2026-01-01 00:00:31+00:00,2026-01-01 00:00:32+00:00,67,35,61,35,62,92,73
S032,2026-01-01 00:00:32+00:00,2026-01-01 00:00:33+00:00,46,78,91,45,81,95,70
S033,2026-01-01 00:00:33+00:00,2026-01-01 00:00:34+00:00,92,42,86,62,67,56,67
S034,2026-01-01 00:00:34+00:00,2026-01-01 00:00:35+00:00,56,58,47,91,39,92,64
S035,2026-01-01 00:00:35+00:00,2026-01-01 00:00:36+00:00,95,45,75,59,94,92,71
S036,2026-01-01 00:00:36+00:00,2026-01-01 00:00:37+00:00,78,85,37,84,95,56,57
S037,2026-01-01 00:00:37+00:00,2026-01-01 00:00:38+00:00,59,51,73,57,82,83,92
S038,2026-01-01 00:00:38+00:00,2026-01-01 00:00:39+00:00,83,42,40,65,53,86,44
S039,2026-01-01 00:00:39+00:00,2026-01-01 00:00:40+00:00,61,69,42,64,38,76,88
S040,2026-01-01 00:00:40+00:00,2026-01-01 00:00:41+00:00,93,69,61,76,69,40,39
S041,2026-01-01 00:00:41+00:00,2026-01-01 00:00:42+00:00,76,67,43,69,83,49,70
S042,2026-01-01 00:00:42+00:00,2026-01-01 00:00:43+00:00,62,93,71,41,51,88,68
S043,2026-01-01 00:00:43+00:00,2026-01-01 00:00:44+00:00,94,39,67,94,78,77,86
S044,2026-01-01 00:00:44+00:00,2026-01-01 00:00:45+00:00,50,76,85,50,62,94,65
S045,2026-01-01 00:00:45+00:00,2026-01-01 00:00:46+00:00,49,73,76,60,64,71,44
S046,2026-01-01 00:00:46+00:00,2026-01-01 00:00:47+00:00,81,92,78,82,63,67,92
S047,2026-01-01 00:00:47+00:00,2026-01-01 00:00:48+00:00,85,75,58,91,80,42,53
S048,2026-01-01 00:00:48+00:00,2026-01-01 00:00:49+00:00,78,62,49,86,87,87,92
S049,2026-01-01 00:00:49+00:00,2026-01-01 00:00:50+00:00,89,41,93,94,40,94,66
S050,2026-01-01 00:00:50+00:00,2026-01-01 00:00:51+00:00,86,43,88,83,69,78,35
S051,2026-01-01 00:00:51+00:00,2026-01-01 00:00:52+00:00,91,42,66,36,94,78,90
S052,2026-01-01 00:00:52+00:00,2026-01-01 00:00:53+00:00,37,46,66,35,75,39,39
S053,2026-01-01 00:00:53+00:00,2026-01-01 00:00:54+00:00,71,68,58,82,71,73,79
S054,2026-01-01 00:00:54+00:00,2026-01-01 00:00:55+00:00,85,67,75,46,58,38,38
S055,2026-01-01 00:00:55+00:00,2026-01-01 00:00:56+00:00,41,82,86,39,63,40,50
S056,2026-01-01 00:00:56+00:00,2026-01-01 00:00:57+00:00,55,89,83,71,83,79,58
S057,2026-01-01 00:00:57+00:00,2026-01-01 00:00:58+00:00,43,57,83,66,80,66,50
S058,2026-01-01 00:00:58+00:00,2026-01-01 00:00:59+00:00,73,58,92,93,87,86,89
S059,2026-01-01 00:00:59+00:00,2026-01-01 00:01:00+00:00,52,71,86,89,65,64,36
S060,2026-01-01 00:01:00+00:00,2026-01-01 00:01:01+00:00,38,69,46,43,69,81,83
S061,2026-01-01 00:01:01+00:00,2026-01-01 00:01:02+00:00,59,78,73,75,94,69,62
S062,2026-01-01 00:01:02+00:00,2026-01-01 00:01:03+00:00,94,74,36,69,67,89,66
S063,2026-01-01 00:01:03+00:00,2026-01-01 00:01:04+00:00,48,56,37,53,86,74,61
S064,2026-01-01 00:01:04+00:00,2026-01-01 00:01:05+00:00,84,61,83,82,95,86,54
