Student_ID,Programming,Databases,Problem_Solving,Communication,Cloud_Computing,Teamwork,Aptitude,Average_Skill,Average_Skill_Gap,Skill_Gap_Category,Industry_Readiness_Percent
S001,73,82,63,56,55,60,95,69.14,10.43,Medium,89.57
S002,86,49,70,45,82,69,73,67.71,11.29,Medium,88.71
S003,63,42,47,82,54,84,39,58.71,20.0,Medium,80.0
S004,49,48,66,50,90,59,56,59.71,19.57,Medium,80.43
S005,77,57,41,67,42,58,63,57.86,18.57,Medium,81.43
S006,42,94,93,43,41,47,89,64.14,18.14,Medium,81.86
S007,95,91,85,94,37,94,37,76.14,10.86,Medium,89.14
S008,55,74,56,93,51,92,46,66.71,14.71,Medium,85.29
S009,73,55,62,40,67,41,60,56.86,19.57,Medium,80.43
S010,92,50,36,50,82,91,50,64.43,17.71,Medium,82.29
S011,53,79,76,63,46,70,85,67.43,10.29,Medium,89.71
S012,57,52,79,37,93,79,71,66.86,13.43,Medium,86.57
S013,45,81,91,54,85,54,56,66.57,14.43,Medium,85.57
S014,45,87,87,94,56,35,91,70.71,12.71,Medium,87.29
S015,58,58,40,93,89,42,63,63.29,18.43,Medium,81.57
S016,87,60,62,70,56,80,48,66.14,12.0,Medium,88.0
S017,70,59,62,53,80,50,62,62.29,15.57,Medium,84.43
S018,74,94,78,60,64,48,39,65.29,13.86,Medium,86.14
S019,58,94,78,37,72,46,81,66.57,13.0,Medium,87.0
S020,37,94,54,53,72,85,83,68.29,13.0,Medium,87.0
S021,56,79,64,54,79,57,64,64.71,13.57,Medium,86.43
S022,87,75,45,66,85,49,80,69.57,10.0,Low,90.0
S023,36,63,92,41,88,62,86,66.86,14.71,Medium,85.29
S024,58,49,89,86,42,68,39,61.57,17.71,Medium,82.29
S025,78,79,62,75,61,36,46,62.43,14.57,Medium,85.43
S026,64,35,59,67,61,66,50,57.43,19.0,Medium,81.0
S027,72,59,73,74,68,57,60,66.14,10.29,Medium,89.71
S028,36,41,67,73,55,56,60,55.43,21.0,Medium,79.0
S029,94,43,35,52,64,85,82,65.0,15.14,Medium,84.86
S030,55,58,91,74,67,59,55,65.57,12.43,Medium,87.57
S031,67,35,61,35,62,92,73,60.71,18.14,Medium,81.86
S032,46,78,91,45,81,95,70,72.29,10.57,Medium,89.43
S033,92,42,86,62,67,56,67,67.43,11.57,Medium,88.43
S034,56,58,47,91,39,92,64,63.86,17.29,Medium,82.71
S035,95,45,75,59,94,92,71,75.86,8.57,Low,91.43
S036,78,85,37,84,95,56,57,70.29,12.43,Medium,87.57
S037,59,51,73,57,82,83,92,71.0,10.0,Low,90.0
S038,83,42,40,65,53,86,44,59.0,19.43,Medium,80.57
S039,61,69,42,64,38,76,88,62.57,15.14,Medium,84.86
S040,93,69,61,76,69,40,39,63.86,14.57,Medium,85.43
S041,76,67,43,69,83,49,70,65.29,13.0,Medium,87.0
S042,62,93,71,41,51,88,68,67.71,13.14,Medium,86.86
S043,94,39,67,94,78,77,86,76.43,7.0,Low,93.0
S044,50,76,85,50,62,94,65,68.86,11.14,Medium,88.86
S045,49,73,76,60,64,71,44,62.43,14.0,Medium,86.0
S046,81,92,78,82,63,67,92,79.29,2.43,Low,97.57
S047,85,75,58,91,80,42,53,69.14,11.71,Medium,88.29
S048,78,62,49,86,87,87,92,77.29,6.57,Low,93.43
S049,89,41,93,94,40,94,66,73.86,11.14,Medium,88.86
S050,86,43,88,83,69,78,35,68.86,11.14,Medium,88.86
S051,91,42,66,36,94,78,90,71.0,12.29,Medium,87.71
S052,37,46,66,35,75,39,39,48.14,29.0,High,71.0
S053,71,68,58,82,71,73,79,71.71,5.86,Low,94.14
S054,85,67,75,46,58,38,38,58.14,19.0,Medium,81.0
S055,41,82,86,39,63,40,50,57.29,21.0,Medium,79.0
S056,55,89,83,71,83,79,58,74.0,7.29,Low,92.71
S057,43,57,83,66,80,66,50,63.57,14.71,Medium,85.29
S058,73,58,92,93,87,86,89,82.57,3.43,Low,96.57
S059,52,71,86,89,65,64,36,66.14,13.14,Medium,86.86
S060,38,69,46,43,69,81,83,61.29,16.43,Medium,83.57
S061,59,78,73,75,94,69,62,72.86,7.43,Low,92.57
S062,94,74,36,69,67,89,66,70.71,9.71,Low,90.29
S063,48,56,37,53,86,74,61,59.29,19.43,Medium,80.57
S064,84,61,83,82,95,86,54,77.86,5.71,Low,94.29
S065,92,69,71,50,55,50,58,63.57,14.57,Medium,85.43
S066,43,35,83,37,66,47,46,51.0,25.86,High,74.14
S067,60,69,90,54,57,84,84,71.14,8.57,Low,91.43
S068,87,71,51,58,67,94,69,71.0,9.14,Low,90.86
S069,36,81,93,88,37,76,94,72.14,11.0,Medium,89.0
S070,54,48,83,90,52,64,67,65.43,13.57,Medium,86.43
S071,62,37,36,67,59,53,67,54.43,22.0,Medium,78.0
S072,81,35,36,58,76,51,95,61.71,17.86,Medium,82.14
S073,94,39,62,86,65,90,85,74.43,8.43,Low,91.57
S074,41,60,88,45,88,53,77,64.57,15.57,Medium,84.43
S075,78,89,57,83,92,62,71,76.0,6.71,Low,93.29
S076,95,48,71,42,37,92,46,61.57,19.43,Medium,80.57
S077,42,73,66,70,74,89,37,64.43,14.57,Medium,85.43
S078,81,61,67,72,80,60,35,65.14,12.86,Medium,87.14
S079,69,43,35,74,58,71,67,59.57,16.86,Medium,83.14
S080,48,49,53,54,84,60,74,60.29,18.14,Medium,81.86
S081,51,49,36,69,66,87,44,57.43,20.71,Medium,79.29
S082,70,60,87,82,81,57,77,73.43,6.57,Low,93.43
S083,84,76,78,59,56,43,78,67.71,9.43,Low,90.57
S084,74,94,60,69,57,46,63,66.14,13.0,Medium,87.0
S085,38,47,66,59,36,87,47,54.29,23.86,Medium,76.14
S086,36,85,40,63,61,35,46,52.29,25.57,High,74.43
S087,40,66,66,52,76,92,65,65.29,14.43,Medium,85.57
S088,88,73,89,80,36,92,80,76.86,5.14,Low,94.86
S089,76,83,38,52,60,35,36,54.29,23.29,Medium,76.71
S090,38,86,89,36,51,81,95,68.0,14.29,Medium,85.71
S091,88,95,45,88,74,68,85,77.57,6.0,Low,94.0
S092,63,66,90,69,67,66,84,72.14,6.29,Low,93.71
S093,52,38,93,50,43,88,69,61.86,18.29,Medium,81.71
S094,60,64,51,95,77,82,57,69.43,11.86,Medium,88.14
S095,78,71,72,75,88,59,51,70.57,8.43,Low,91.57
S096,68,57,58,70,82,74,60,67.0,11.14,Medium,88.86
S097,44,73,39,67,73,79,42,59.57,17.86,Medium,82.14
S098,70,79,86,38,63,87,63,69.43,10.14,Medium,89.86
S099,48,49,68,67,76,35,60,57.57,19.71,Medium,80.29
S100,65,77,40,48,89,50,44,59.0,20.43,Medium,79.57
