student_id,event_timestamp,skill_gap_category
S001,2026-01-01 00:00:01+00:00,Medium
S002,2026-01-01 00:00:02+00:00,Medium
S003,2026-01-01 00:00:03+00:00,Medium
S004,2026-01-01 00:00:04+00:00,Medium
S005,2026-01-01 00:00:05+00:00,Medium
S006,2026-01-01 00:00:06+00:00,Medium
S007,2026-01-01 00:00:07+00:00,Medium
S008,2026-01-01 00:00:08+00:00,Medium
S009,2026-01-01 00:00:09+00:00,Medium
S010,2026-01-01 00:00:10+00:00,Medium
S011,2026-01-01 00:00:11+00:00,Medium
S012,2026-01-01 00:00:12+00:00,Medium
S013,2026-01-01 00:00:13+00:00,Medium
S014,2026-01-01 00:00:14+00:00,Medium
S015,2026-01-01 00:00:15+00:00,Medium
S016,2026-01-01 00:00:16+00:00,Medium
S017,2026-01-01 00:00:17+00:00,Medium
S018,2026-01-01 00:00:18+00:00,Medium
S019,2026-01-01 00:00:19+00:00,Medium
S020,2026-01-01 00:00:20+00:00,Medium
S021,2026-01-01 00:00:21+00:00,Medium
S022,2026-01-01 00:00:22+00:00,Low
S023,2026-01-01 00:00:23+00:00,Medium
S024,2026-01-01 00:00:24+00:00,Medium
S025,2026-01-01 00:00:25+00:00,Medium
S026,2026-01-01 00:00:26+00:00,Medium
S027,2026-01-01 00:00:27+00:00,Medium
S028,2026-01-01 00:00:28+00:00,Medium
S029,2026-01-01 00:00:29+00:00,Medium
S030,2026-01-01 00:00:30+00:00,Medium
S031,2026-01-01 00:00:31+00:00,Medium
S032,2026-01-01 00:00:32+00:00,Medium
S033,2026-01-01 00:00:33+00:00,Medium
S034,2026-01-01 00:00:34+00:00,Medium
S035,2026-01-01 00:00:35+00:00,Low
S036,2026-01-01 00:00:36+00:00,Medium
S037,2026-01-01 00:00:37+00:00,Low
S038,2026-01-01 00:00:38+00:00,Medium
S039,2026-01-01 00:00:39+00:00,Medium
S040,2026-01-01 00:00:40+00:00,Medium
S041,2026-01-01 00:00:41+00:00,Medium
S042,2026-01-01 00:00:42+00:00,Medium
S043,2026-01-01 00:00:43+00:00,Low
S044,2026-01-01 00:00:44+00:00,Medium
S045,2026-01-01 00:00:45+00:00,Medium
S046,2026-01-01 00:00:46+00:00,Low
S047,2026-01-01 00:00:47+00:00,Medium
S048,2026-01-01 00:00:48+00:00,Low
S049,2026-01-01 00:00:49+00:00,Medium
S050,2026-01-01 00:00:50+00:00,Medium
S051,2026-01-01 00:00:51+00:00,Medium
S052,2026-01-01 00:00:52+00:00,High
S053,2026-01-01 00:00:53+00:00,Low
S054,2026-01-01 00:00:54+00:00,Medium
S055,2026-01-01 00:00:55+00:00,Medium
S056,2026-01-01 00:00:56+00:00,Low
S057,2026-01-01 00:00:57+00:00,Medium
S058,2026-01-01 00:00:58+00:00,Low
S059,2026-01-01 00:00:59+00:00,Medium
S060,2026-01-01 00:01:00+00:00,Medium
S061,2026-01-01 00:01:01+00:00,Low
S062,2026-01-01 00:01:02+00:00,Low
S063,2026-01-01 00:01:03+00:00,Medium
S064,2026-01-01 00:01:04+00:00,Low
S065,2026-01-01 00:01:05+00:00,Medium
S066,2026-01-01 00:01:06+00:00,High
S067,2026-01-01 00:01:07+00:00,Low
S068,2026-01-01 00:01:08+00:00,Low
S069,2026-01-01 00:01:09+00:00,Medium
S070,2026-01-01 00:01:10+00:00,Medium
S071,2026-01-01 00:01:11+00:00,Medium
S072,2026-01-01 00:01:12+00:00,Medium
S073,2026-01-01 00:01:13+00:00,Low
S074,2026-01-01 00:01:14+00:00,Medium
S075,2026-01-01 00:01:15+00:00,Low
S076,2026-01-01 00:01:16+00:00,Medium
S077,2026-01-01 00:01:17+00:00,Medium
S078,2026-01-01 00:01:18+00:00,Medium
S079,2026-01-01 00:01:19+00:00,Medium
S080,2026-01-01 00:01:20+00:00,Medium
S081,2026-01-01 00:01:21+00:00,Medium
S082,2026-01-01 00:01:22+00:00,Low
S083,2026-01-01 00:01:23+00:00,Low
S084,2026-01-01 00:01:24+00:00,Medium
S085,2026-01-01 00:01:25+00:00,Medium
S086,2026-01-01 00:01:26+00:00,High
S087,2026-01-01 00:01:27+00:00,Medium
S088,2026-01-01 00:01:28+00:00,Low
S089,2026-01-01 00:01:29+00:00,Medium
S090,2026-01-01 00:01:30+00:00,Medium
S091,2026-01-01 00:01:31+00:00,Low
S092,2026-01-01 00:01:32+00:00,Low
S093,2026-01-01 00:01:33+00:00,Medium
S094,2026-01-01 00:01:34+00:00,Medium
S095,2026-01-01 00:01:35+00:00,Low
S096,2026-01-01 00:01:36+00:00,Medium
S097,2026-01-01 00:01:37+00:00,Medium
S098,2026-01-01 00:01:38+00:00,Medium
S099,2026-01-01 00:01:39+00:00,Medium
S100,2026-01-01 00:01:40+00:00,Medium
